Date,Balance
2018-01-01,9980
2018-01-02,10029
2018-01-03,10034
2018-01-04,10022
2018-01-05,10060
2018-01-06,10084
2018-01-07,10111
2018-01-08,10067
2018-01-09,10115
2018-01-10,10070
2018-01-11,10045
2018-01-12,10004
2018-01-13,10028
2018-01-14,10014
2018-01-15,10076
2018-01-16,10111
2018-01-17,10107
2018-01-18,10176
2018-01-19,10201
2018-01-20,10157
2018-01-21,10165
2018-01-22,10165
2018-01-23,10168
2018-01-24,10153
2018-01-25,10125
2018-01-26,10159
2018-01-27,10138
2018-01-28,10109
2018-01-29,10164
2018-01-30,10154
2018-01-31,10105
2018-02-01,10064
2018-02-02,10080
2018-02-03,10137
2018-02-04,10192
2018-02-05,10252
2018-02-06,10257
2018-02-07,10285
2018-02-08,10309
2018-02-09,10308
2018-02-10,10271
2018-02-11,10276
2018-02-12,10264
2018-02-13,10214
2018-02-14,10211
2018-02-15,10247
2018-02-16,10273
2018-02-17,10294
2018-02-18,10313
2018-02-19,10342
2018-02-20,10354
2018-02-21,10315
2018-02-22,10348
2018-02-23,10358
2018-02-24,10387
2018-02-25,10356
2018-02-26,10348
2018-02-27,10369
2018-02-28,10336
2018-03-01,10338
2018-03-02,10331
2018-03-03,10372
2018-03-04,10424
2018-03-05,10449
2018-03-06,10467
2018-03-07,10505
2018-03-08,10549
2018-03-09,10576
2018-03-10,10545
2018-03-11,10548
2018-03-12,10507
2018-03-13,10554
2018-03-14,10520
2018-03-15,10525
2018-03-16,10486
2018-03-17,10506
2018-03-18,10518
2018-03-19,10527
2018-03-20,10549
2018-03-21,10606
2018-03-22,10616
2018-03-23,10611
2018-03-24,10667
2018-03-25,10666
2018-03-26,10657
2018-03-27,10683
2018-03-28,10701
2018-03-29,10718
2018-03-30,10674
2018-03-31,10741
2018-04-01,10786
2018-04-02,10851
2018-04-03,10844
2018-04-04,10844
2018-04-05,10810
2018-04-06,10879
2018-04-07,10892
2018-04-08,10867
2018-04-09,10899
2018-04-10,10854
2018-04-11,10828
2018-04-12,10846
2018-04-13,10868
