Date,Balance
2018-01-01,9981
2018-01-02,9976
2018-01-03,10018
2018-01-04,10029
2018-01-05,10004
2018-01-06,9995
2018-01-07,10035
2018-01-08,10048
2018-01-09,10036
2018-01-10,10076
2018-01-11,10058
2018-01-12,10028
2018-01-13,10067
2018-01-14,10124
2018-01-15,10088
2018-01-16,10069
2018-01-17,10021
2018-01-18,9972
2018-01-19,9944
2018-01-20,9933
2018-01-21,9906
2018-01-22,9922
2018-01-23,9893
2018-01-24,9922
2018-01-25,9914
2018-01-26,9897
2018-01-27,9879
2018-01-28,9933
2018-01-29,9964
2018-01-30,9960
2018-01-31,9963
2018-02-01,9915
2018-02-02,9948
2018-02-03,9975
2018-02-04,10030
2018-02-05,10032
2018-02-06,10074
2018-02-07,10132
2018-02-08,10110
2018-02-09,10085
2018-02-10,10115
2018-02-11,10119
2018-02-12,10085
2018-02-13,10114
2018-02-14,10114
2018-02-15,10082
2018-02-16,10074
2018-02-17,10080
2018-02-18,10121
2018-02-19,10153
2018-02-20,10170
2018-02-21,10176
2018-02-22,10133
2018-02-23,10094
2018-02-24,10107
2018-02-25,10063
2018-02-26,10095
2018-02-27,10127
2018-02-28,10092
2018-03-01,10142
2018-03-02,10164
2018-03-03,10133
2018-03-04,10085
2018-03-05,10036
2018-03-06,10013
2018-03-07,9996
2018-03-08,9967
2018-03-09,9946
2018-03-10,9939
2018-03-11,9971
2018-03-12,9959
2018-03-13,10018
2018-03-14,10040
2018-03-15,10004
2018-03-16,10050
2018-03-17,10104
2018-03-18,10126
2018-03-19,10114
2018-03-20,10138
2018-03-21,10133
2018-03-22,10170
2018-03-23,10157
2018-03-24,10199
2018-03-25,10150
2018-03-26,10197
2018-03-27,10206
2018-03-28,10194
2018-03-29,10150
2018-03-30,10150
2018-03-31,10103
2018-04-01,10058
2018-04-02,10101
2018-04-03,10135
2018-04-04,10097
2018-04-05,10147
2018-04-06,10100
2018-04-07,10111
2018-04-08,10074
2018-04-09,10103
2018-04-10,10061
2018-04-11,10073
2018-04-12,10050
2018-04-13,10023
2018-04-14,10063
2018-04-15,10045
2018-04-16,10013
2018-04-17,10059
2018-04-18,10072
2018-04-19,10050
2018-04-20,10044
2018-04-21,10045
2018-04-22,10080
2018-04-23,10034
2018-04-24,10092
2018-04-25,10132
2018-04-26,10147
2018-04-27,10124
2018-04-28,10102
2018-04-29,10083
2018-04-30,10132
2018-05-01,10085
2018-05-02,10106
2018-05-03,10070
2018-05-04,10128
2018-05-05,10153
2018-05-06,10166
2018-05-07,10204
2018-05-08,10173
2018-05-09,10171
2018-05-10,10172
2018-05-11,10136
2018-05-12,10137
2018-05-13,10188
2018-05-14,10197
2018-05-15,10249
2018-05-16,10262
2018-05-17,10299
2018-05-18,10355
2018-05-19,10333
2018-05-20,10310
2018-05-21,10264
2018-05-22,10306
2018-05-23,10288
2018-05-24,10269
2018-05-25,10232
2018-05-26,10185
2018-05-27,10140
2018-05-28,10179
2018-05-29,10173
2018-05-30,10165
2018-05-31,10172
2018-06-01,10173
2018-06-02,10137
2018-06-03,10183
2018-06-04,10165
2018-06-05,10202
2018-06-06,10218
2018-06-07,10191
2018-06-08,10180
2018-06-09,10215
2018-06-10,10215
2018-06-11,10250
2018-06-12,10250
2018-06-13,10267
2018-06-14,10243
2018-06-15,10231
2018-06-16,10214
2018-06-17,10255
2018-06-18,10310
2018-06-19,10352
2018-06-20,10321
2018-06-21,10338
2018-06-22,10312
2018-06-23,10287
2018-06-24,10237
2018-06-25,10210
2018-06-26,10267
2018-06-27,10263
2018-06-28,10310
2018-06-29,10294
2018-06-30,10351
2018-07-01,10333
2018-07-02,10343
2018-07-03,10390
2018-07-04,10436
2018-07-05,10479
2018-07-06,10441
2018-07-07,10431
2018-07-08,10465
2018-07-09,10463
2018-07-10,10460
2018-07-11,10476
2018-07-12,10526
2018-07-13,10545
2018-07-14,10514
2018-07-15,10524
2018-07-16,10507
2018-07-17,10504
2018-07-18,10468
2018-07-19,10494
2018-07-20,10459
2018-07-21,10420
2018-07-22,10376
2018-07-23,10381
2018-07-24,10439
2018-07-25,10456
2018-07-26,10439
2018-07-27,10419
2018-07-28,10383
2018-07-29,10352
2018-07-30,10346
2018-07-31,10352
2018-08-01,10327
2018-08-02,10349
2018-08-03,10399
2018-08-04,10403
2018-08-05,10390
2018-08-06,10429
2018-08-07,10470
2018-08-08,10486
2018-08-09,10543
2018-08-10,10498
2018-08-11,10500
2018-08-12,10547
2018-08-13,10594
2018-08-14,10623
2018-08-15,10623
2018-08-16,10612
2018-08-17,10565
2018-08-18,10565
2018-08-19,10562
2018-08-20,10517
2018-08-21,10490
2018-08-22,10545
2018-08-23,10513
2018-08-24,10471
2018-08-25,10479
2018-08-26,10515
2018-08-27,10507
2018-08-28,10519
2018-08-29,10550
2018-08-30,10504
2018-08-31,10504
2018-09-01,10456
2018-09-02,10499
2018-09-03,10488
2018-09-04,10470
2018-09-05,10490
2018-09-06,10467
2018-09-07,10470
2018-09-08,10438
2018-09-09,10391
2018-09-10,10428
2018-09-11,10421
2018-09-12,10424
2018-09-13,10476
2018-09-14,10465
2018-09-15,10501
2018-09-16,10534
2018-09-17,10508
2018-09-18,10496
2018-09-19,10487
2018-09-20,10454
2018-09-21,10448
2018-09-22,10489
2018-09-23,10514
2018-09-24,10483
2018-09-25,10482
2018-09-26,10536
2018-09-27,10536
2018-09-28,10527
2018-09-29,10527
2018-09-30,10506
2018-10-01,10461
2018-10-02,10473
2018-10-03,10514
2018-10-04,10496
2018-10-05,10544
2018-10-06,10494
2018-10-07,10459
2018-10-08,10495
2018-10-09,10445
2018-10-10,10420
2018-10-11,10422
2018-10-12,10466
2018-10-13,10485
2018-10-14,10503
2018-10-15,10518
2018-10-16,10506
2018-10-17,10523
2018-10-18,10511
2018-10-19,10464
2018-10-20,10485
2018-10-21,10464
2018-10-22,10477
2018-10-23,10512
2018-10-24,10477
2018-10-25,10514
2018-10-26,10547
2018-10-27,10501
2018-10-28,10490
2018-10-29,10523
2018-10-30,10573
2018-10-31,10606
2018-11-01,10616
2018-11-02,10629
2018-11-03,10618
2018-11-04,10675
2018-11-05,10630
2018-11-06,10626
2018-11-07,10612
2018-11-08,10572
2018-11-09,10524
2018-11-10,10481
2018-11-11,10431
2018-11-12,10426
2018-11-13,10435
2018-11-14,10442
2018-11-15,10417
2018-11-16,10439
2018-11-17,10442
2018-11-18,10479
2018-11-19,10473
2018-11-20,10429
2018-11-21,10487
2018-11-22,10479
2018-11-23,10535
2018-11-24,10579
2018-11-25,10601
2018-11-26,10620
2018-11-27,10584
2018-11-28,10538
2018-11-29,10563
2018-11-30,10570
2018-12-01,10615
2018-12-02,10576
2018-12-03,10546
2018-12-04,10566
2018-12-05,10597
2018-12-06,10625
2018-12-07,10618
2018-12-08,10606
2018-12-09,10562
2018-12-10,10539
2018-12-11,10503
2018-12-12,10561
2018-12-13,10544
2018-12-14,10523
2018-12-15,10525
2018-12-16,10537
2018-12-17,10490
2018-12-18,10546
2018-12-19,10511
2018-12-20,10561
2018-12-21,10587
2018-12-22,10597
2018-12-23,10634
2018-12-24,10657
2018-12-25,10679
2018-12-26,10692
2018-12-27,10643
2018-12-28,10642
2018-12-29,10659
2018-12-30,10651
2018-12-31,10614
2019-01-01,10648
2019-01-02,10654
2019-01-03,10619
2019-01-04,10677
2019-01-05,10733
2019-01-06,10701
2019-01-07,10759
2019-01-08,10786
2019-01-09,10842
2019-01-10,10810
2019-01-11,10765
2019-01-12,10749
2019-01-13,10769
2019-01-14,10787
2019-01-15,10757
2019-01-16,10797
2019-01-17,10828
2019-01-18,10854
2019-01-19,10865
2019-01-20,10888
2019-01-21,10865
2019-01-22,10854
2019-01-23,10905
2019-01-24,10893
2019-01-25,10948
2019-01-26,10993
2019-01-27,10944
2019-01-28,10941
2019-01-29,10902
2019-01-30,10908
2019-01-31,10868
2019-02-01,10818
2019-02-02,10808
2019-02-03,10790
2019-02-04,10765
2019-02-05,10819
2019-02-06,10784
2019-02-07,10818
2019-02-08,10842
