Date,Balance
2018-01-01,9982
2018-01-02,9984
2018-01-03,10009
2018-01-04,10025
2018-01-05,10015
2018-01-06,10041
2018-01-07,10130
2018-01-08,10215
2018-01-09,10250
2018-01-10,10261
2018-01-11,10310
2018-01-12,10281
2018-01-13,10263
2018-01-14,10300
2018-01-15,10402
2018-01-16,10488
2018-01-17,10460
2018-01-18,10448
2018-01-19,10484
2018-01-20,10529
2018-01-21,10598
2018-01-22,10551
2018-01-23,10507
2018-01-24,10532
2018-01-25,10576
2018-01-26,10563
2018-01-27,10598
2018-01-28,10555
2018-01-29,10600
2018-01-30,10680
2018-01-31,10638
2018-02-01,10617
2018-02-02,10664
2018-02-03,10627
2018-02-04,10646
2018-02-05,10763
2018-02-06,10817
2018-02-07,10922
2018-02-08,10925
2018-02-09,11039
2018-02-10,11039
2018-02-11,11091
2018-02-12,11193
2018-02-13,11285
2018-02-14,11314
2018-02-15,11294
2018-02-16,11255
2018-02-17,11332
2018-02-18,11294
2018-02-19,11405
2018-02-20,11441
2018-02-21,11479
2018-02-22,11562
2018-02-23,11628
2018-02-24,11687
2018-02-25,11726
2018-02-26,11808
2018-02-27,11842
2018-02-28,11862
2018-03-01,11940
2018-03-02,12048
2018-03-03,12085
2018-03-04,12146
2018-03-05,12182
2018-03-06,12271
2018-03-07,12292
2018-03-08,12390
2018-03-09,12345
2018-03-10,12448
2018-03-11,12514
2018-03-12,12556
2018-03-13,12606
2018-03-14,12605
2018-03-15,12589
2018-03-16,12620
2018-03-17,12734
2018-03-18,12845
2018-03-19,12871
2018-03-20,12954
2018-03-21,12993
2018-03-22,13080
2018-03-23,13085
2018-03-24,13173
2018-03-25,13219
2018-03-26,13201
2018-03-27,13216
2018-03-28,13182
2018-03-29,13167
2018-03-30,13212
2018-03-31,13239
2018-04-01,13199
2018-04-02,13288
2018-04-03,13340
2018-04-04,13348
2018-04-05,13422
2018-04-06,13532
2018-04-07,13601
2018-04-08,13572
2018-04-09,13658
2018-04-10,13690
2018-04-11,13665
2018-04-12,13698
2018-04-13,13756
2018-04-14,13713
2018-04-15,13667
2018-04-16,13748
2018-04-17,13837
2018-04-18,13837
2018-04-19,13838
2018-04-20,13860
2018-04-21,13920
2018-04-22,13979
2018-04-23,13942
2018-04-24,13966
2018-04-25,13947
2018-04-26,13979
2018-04-27,13984
2018-04-28,13951
2018-04-29,13957
2018-04-30,13970
2018-05-01,14028
2018-05-02,14015
2018-05-03,14039
2018-05-04,14148
2018-05-05,14140
2018-05-06,14207
2018-05-07,14214
2018-05-08,14252
2018-05-09,14279
2018-05-10,14392
2018-05-11,14413
2018-05-12,14461
2018-05-13,14490
2018-05-14,14550
2018-05-15,14583
2018-05-16,14670
2018-05-17,14653
2018-05-18,14635
2018-05-19,14737
2018-05-20,14793
2018-05-21,14887
2018-05-22,14950
2018-05-23,15013
2018-05-24,15064
2018-05-25,15106
2018-05-26,15126
2018-05-27,15190
2018-05-28,15277
2018-05-29,15383
2018-05-30,15403
2018-05-31,15399
2018-06-01,15451
2018-06-02,15536
2018-06-03,15611
2018-06-04,15730
2018-06-05,15797
2018-06-06,15814
2018-06-07,15900
2018-06-08,15938
2018-06-09,15934
2018-06-10,15890
2018-06-11,15994
2018-06-12,16032
2018-06-13,16085
2018-06-14,16113
2018-06-15,16230
2018-06-16,16218
2018-06-17,16268
2018-06-18,16376
2018-06-19,16446
2018-06-20,16454
2018-06-21,16422
2018-06-22,16420
2018-06-23,16468
2018-06-24,16542
2018-06-25,16627
2018-06-26,16598
2018-06-27,16702
2018-06-28,16654
2018-06-29,16731
2018-06-30,16687
2018-07-01,16659
2018-07-02,16764
2018-07-03,16820
2018-07-04,16912
2018-07-05,16944
2018-07-06,17031
2018-07-07,17101
2018-07-08,17071
2018-07-09,17105
2018-07-10,17100
2018-07-11,17191
2018-07-12,17173
2018-07-13,17256
